Player Id,Name,Position,Year,Team,Games Played,Kickoffs,Kickoff Yards,Out of Bounds Kickoffs,Yards Per Kickoff,Touchbacks,Touchback Percentage,Kickoffs Returned,Average Returned Yards,Kickoffs Resulting in TDs,On Sides Kicks,On Sides Kicks Returned
joenedney/2502269,"Nedney, Joe",,2000,Denver Broncos,3,18,"1,164",0,64.7,2,11.1,15,22.8,0,1,0
joenedney/2502269,"Nedney, Joe",,1999,Oakland Raiders,3,20,"1,280",0,64,2,10,18,17,0,0,0
joenedney/2502269,"Nedney, Joe",,1999,Baltimore Ravens,0,--,--,--,--,--,--,--,--,--,--,--
joenedney/2502269,"Nedney, Joe",,1999,Arizona Cardinals,1,3,206,0,68.7,1,33.3,2,24.5,0,0,0
joenedney/2502269,"Nedney, Joe",,1998,Arizona Cardinals,12,52,"3,473",3,66.8,12,23.1,37,21.9,0,1,0
joenedney/2502269,"Nedney, Joe",,1997,Arizona Cardinals,10,40,"2,695",0,67.4,17,42.5,22,24.5,1,2,0
joenedney/2502269,"Nedney, Joe",,1997,Miami Dolphins,0,--,--,--,--,--,--,--,--,--,--,--
joenedney/2502269,"Nedney, Joe",,1996,Miami Dolphins,16,73,"4,799",2,65.7,20,27.4,48,22,0,3,1
pato'donnell/2543611,"O'Donnell, Pat",P,2016,Chicago Bears,16,1,51,0,51,0,0,1,9,0,0,0
pato'donnell/2543611,"O'Donnell, Pat",P,2015,Chicago Bears,15,--,--,--,--,--,--,--,--,--,--,--
pato'donnell/2543611,"O'Donnell, Pat",P,2014,Chicago Bears,16,1,65,0,65,1,100,0,--,0,0,0
filipfilipovic/2504944,"Filipovic, Filip",,2002,Dallas Cowboys,9,1,59,0,59,0,0,1,22,0,0,0
jasonmyers/2553112,"Myers, Jason",K,2016,Jacksonville Jaguars,16,76,"4,670",2,61.4,60,78.9,12,21.8,0,4,0
jasonmyers/2553112,"Myers, Jason",K,2015,Jacksonville Jaguars,16,84,"5,247",4,62.5,55,65.5,23,24,0,5,0
barrycantrell/2499987,"Cantrell, Barry",,2000,Dallas Cowboys,2,4,215,0,53.8,0,0,4,17.3,0,0,0
phildawson/2500351,"Dawson, Phil",K,2016,San Francisco 49ers,16,41,"2,328",1,56.8,4,9.8,35,19.6,0,2,0
phildawson/2500351,"Dawson, Phil",K,2015,San Francisco 49ers,16,6,268,0,44.7,0,0,4,28.8,0,2,1
phildawson/2500351,"Dawson, Phil",K,2014,San Francisco 49ers,16,73,"4,721",0,64.7,32,43.8,40,22.7,0,1,0
phildawson/2500351,"Dawson, Phil",K,2013,San Francisco 49ers,16,91,"6,011",0,66.1,38,41.8,53,20.4,0,0,0
phildawson/2500351,"Dawson, Phil",K,2012,Cleveland Browns,16,77,"4,914",1,63.8,30,39,43,19.8,0,2,0
phildawson/2500351,"Dawson, Phil",K,2011,Cleveland Browns,16,59,"3,728",1,63.2,10,16.9,46,22.9,1,3,1
phildawson/2500351,"Dawson, Phil",K,2010,Cleveland Browns,16,67,"4,057",2,60.6,7,10.4,54,17.8,0,4,0
phildawson/2500351,"Dawson, Phil",K,2009,Cleveland Browns,11,49,"2,941",2,60,4,8.2,41,18.1,0,2,1
phildawson/2500351,"Dawson, Phil",K,2008,Cleveland Browns,16,66,"4,249",0,64.4,12,18.2,53,23.2,1,0,0
phildawson/2500351,"Dawson, Phil",K,2007,Cleveland Browns,16,85,"5,221",2,61.4,5,5.9,76,20.9,0,0,0
